cons_id,cons_no,prov_id,registered_vote,total_vote_stations,zone
RYG_5,5,RYG,116634,134,อำเภอปลวกแดง (เฉพาะตำบลแม่น้ำคู้)
SBR_1,1,SBR,168055,213,
SKA_1,1,SKA,128342,188,อำเภอเมืองสงขลา
SKA_2,2,SKA,109814,175,"อำเภอหาดใหญ่ (เฉพาะตำบลหาดใหญ่, ตำบลคลองอู่ตะเภา)"
SKA_3,3,SKA,128839,193,"อำเภอจะนะ (เฉพาะตำบลคลองเปียะ, ตำบลจะโหนง)"
SKA_3,3,SKA,128839,193,อำเภอนาหม่อม
SKA_3,3,SKA,128839,193,"อำเภอหาดใหญ่ (เฉพาะตำบลบ้านพรุ, ตำบลคอหงส์, ตำบลพะตง, ตำบลทุ่งใหญ่, ตำบลท่าข้าม, ตำบลน้ำน้อย)"
SKA_4,4,SKA,126419,239,อำเภอกระแสสินธุ์
SKA_4,4,SKA,126419,239,อำเภอระโนด
SKA_4,4,SKA,126419,239,อำเภอสทิงพระ
SKA_4,4,SKA,126419,239,"อำเภอสิงหนคร (เฉพาะตำบลม่วงงาม, ตำบลบางเขียด, ตำบลชะแล้, ตำบลรำแดง, ตำบลวัดขนุน)"
SKA_5,5,SKA,126828,213,อำเภอควนเนียง
SKA_5,5,SKA,126828,213,อำเภอรัตภูมิ
SKA_5,5,SKA,126828,213,"อำเภอสิงหนคร (เฉพาะตำบลปากรอ, ตำบลป่าขาด, ตำบลทำนบ, ตำบลชิงโค, ตำบลหัวเขา, ตำบลสทิงหม้อ)"
SKA_6,6,SKA,113547,168,อำเภอคลองหอยโข่ง
SKA_6,6,SKA,113547,168,อำเภอสะเดา
SKA_7,7,SKA,119860,200,อำเภอเทพา (เฉพาะตำบลลำไพล)
SKA_7,7,SKA,119860,200,อำเภอนาทวี
SKA_7,7,SKA,119860,200,อำเภอสะบ้าย้อย
SKA_8,8,SKA,116955,204,"อำเภอเทพา (เฉพาะตำบลเทพา, ตำบลปากบาง, ตำบลเกาะสะบ้า, ตำบลท่าม่วง, ตำบลวังใหญ่, ตำบลสะกอม)"
